Sprint,Phase,ID_Tache,Tache,Branche_Git,Priorite,Description,Type,Livrable,Date_Debut,Date_Fin,Duree_Jours,Dependances,Statut,Responsable,Notes
1,Infrastructure,1.1,Setup projet Convertigo,feature/setup-projet,P0,Initialisation projet Convertigo - Structure dossiers - Configuration base,Development,"✅ Projet Convertigo initialisé
✅ Structure base prête",Jour 1,Jour 5,5,,A faire,,Première tâche du projet
1,Infrastructure,1.2,Configuration BDD,feature/config-bdd,P0,"Création BDD PostgreSQL - Scripts SQL - Connexion Convertigo",Database,"✅ BDD créée et accessible
✅ Scripts SQL validés",Jour 1,Jour 5,5,1.1,A faire,,Utiliser script_bdd_modulaire.sql
1,Infrastructure,1.3,Architecture projet,feature/architecture-base,P0,Structure Convertigo - Screens - Sequences - Organisation,Development,"✅ Structure base projet prête
✅ Patterns établis",Jour 3,Jour 8,6,1.1,A faire,,Définir conventions Convertigo
1,Infrastructure,1.4,Authentification ANAIS,feature/authentification-anais,P0,Connecteur ANAIS - Gestion session - Récupération rôles,Integration,"✅ Authentification ANAIS fonctionnelle
✅ Session gérée",Jour 6,Jour 10,5,1.2,A faire,,Authentification centralisée
1,Infrastructure,1.5,Gestion rôles,feature/gestion-roles,P0,RBAC via ANAIS - Contrôle accès - Permissions par rôle,Security,"✅ RBAC opérationnel
✅ Contrôles d'accès en place",Jour 8,Jour 12,5,1.4,A faire,,S'appuie sur ANAIS
2,Infrastructure,2.1,Tables statut/workflow,feature/tables-transverses,P0,Implémentation tables statut - workflow_etape - Référentiels,Database,"✅ Tables transverses opérationnelles
✅ Référentiels créés",Jour 1,Jour 5,5,1.2,A faire,,Utiliser script SQL
2,Infrastructure,2.2,Séquence traceabilité,feature/traceabilite,P0,Triggers automatiques - Traçabilité complète - Historique,Database,"✅ Triggers créés
✅ Traçabilité fonctionnelle",Jour 4,Jour 8,5,2.1,A faire,,Automatisation complète
2,Infrastructure,2.3,Séquence validations,feature/validations-workflow,P0,Gestion workflow multi-étapes - Chaîne validation - Notifications workflow,Development,"✅ Workflow engine fonctionnel
✅ Validations gérées",Jour 6,Jour 10,5,2.2,A faire,,Workflow multi-étapes
2,Infrastructure,2.4,Notifications base,feature/notifications-base,P1,Système notifications de base - Table notifications - Séquence création,Development,"✅ Système notifications basique
✅ Notifications fonctionnelles",Jour 9,Jour 12,4,2.3,A faire,,Notifications automatiques
3,Badges,3.1,Table badge,feature/table-badge,P0,Création table badge avec tous champs identifiés - Types badges - Colonnes,Database,"✅ Table badge créée
✅ Tous champs présents",Jour 1,Jour 3,3,2.1,A faire,,Tous types badges inclus
3,Badges,3.2,Formulaire nouveau collab,feature/badge-nouveau-collab,P0,Screen saisie - Séquence création - Workflow Manager → PCS,Development,"✅ Formulaire nouveau collab opérationnel
✅ Workflow complet",Jour 4,Jour 8,5,3.1,A faire,,Premier formulaire badge
3,Badges,3.3,Formulaire départ collab,feature/badge-depart-collab,P0,Screen saisie départ - Gestion prolongation - Séquence création,Development,"✅ Formulaire départ collab opérationnel
✅ Prolongation gérée",Jour 6,Jour 10,5,3.1,A faire,,Cas départ avec prolongation
3,Badges,3.4,Workflow badges collab,feature/workflow-badge-collab,P0,Workflow Manager → PCS - Validations - Notifications,Development,"✅ Workflow badges collab complet
✅ Validations fonctionnelles",Jour 8,Jour 12,5,3.2-3.3,A faire,,Workflow multi-validations
3,Badges,3.5,Tests badges collab,feature/tests-badge-collab,P1,Tests fonctionnels - Tests workflow - Tests validation,Testing,"✅ Tests passent
✅ Couverture tests OK",Jour 11,Jour 14,4,3.4,A faire,,Tests automatisés si possible
4,Badges,4.1,Badge collab perdu,feature/badge-collab-perdu,P0,Formulaire badge perdu - Déclaration - Remplacement,Development,"✅ Formulaire badge perdu opérationnel",Jour 1,Jour 4,4,3.4,A faire,,Cas perte/vol
4,Badges,4.2,Badge collab HS,feature/badge-collab-hs,P0,Formulaire badge HS - Remplacement - Gestion,Development,"✅ Formulaire badge HS opérationnel",Jour 3,Jour 6,4,3.4,A faire,,Cas hors service
4,Badges,4.3,Badge collab accès spécifique,feature/badge-collab-acces-spec,P0,Accès spécifique - Zones - Durée - Justification,Development,"✅ Formulaire accès spécifique opérationnel",Jour 5,Jour 8,4,3.4,A faire,,Accès temporaires
4,Badges,4.4,Badge personnel,feature/badge-perso,P1,Formulaires perso - Standard - Oublié - Désactivation,Development,"✅ Tous badges personnel opérationnels",Jour 7,Jour 12,6,3.4,A faire,,3 types badges perso
4,Badges,4.5,Dashboard badges collab,feature/dashboard-badge-collab,P1,Vue collaborateur - Demandes badges - Statuts - Actions,UI,"✅ Dashboard collaborateur opérationnel",Jour 10,Jour 14,5,4.1-4.3,A faire,,Vue consolidée
5,Badges,5.1,Badge prestataire nouveau,feature/badge-presta-new,P0,Formulaire nouveau prestataire - Informations - Accès,Development,"✅ Formulaire prestataire nouveau opérationnel",Jour 1,Jour 5,5,3.4,A faire,,Premier badge prestataire
5,Badges,5.2,Badge prestataire autres,feature/badge-presta-autres,P0,Renew - Départ - Perdu - HS - Accès spec,Development,"✅ Tous badges prestataire opérationnels",Jour 4,Jour 10,7,5.1,A faire,,5 types badges prestataire
5,Badges,5.3,Badge autre spécifique,feature/badge-autre-specifique,P1,Formulaires cas particuliers - Justification - Validation,Development,"✅ Formulaire autre spécifique opérationnel",Jour 9,Jour 12,4,3.4,A faire,,Cas particuliers
5,Badges,5.4,Dashboard manager badges,feature/dashboard-badge-manager,P1,Vue manager - Validations en attente - Vue équipe - Statistiques,UI,"✅ Dashboard manager opérationnel",Jour 11,Jour 14,4,4.5-5.2,A faire,,Vue équipe manager
5,Badges,5.5,Dashboard RH badges,feature/dashboard-badge-rh,P1,Vue RH globale - Statistiques - Toutes demandes,UI,"✅ Dashboard RH opérationnel",Jour 13,Jour 16,4,4.5-5.2,A faire,,Vue globale RH
5,Badges,5.6,Release v1.0.0-badges,release/v1.0.0-badges,P0,Finalisation - Tests - Documentation - Tag release,Release,"✅ Release v1.0.0 taggée
✅ Documentation complète",Jour 15,Jour 20,6,5.1-5.5,A faire,,Première release
6,Heures Sup,6.1,Table heures_sup_prealable,feature/table-hs-prealable,P0,Création table avec tous champs identifiés - Période - Heures - Motif,Database,"✅ Table heures_sup_prealable créée",Jour 1,Jour 3,3,2.1,A faire,,Utiliser ANALYSE_DETAILLEE_HEURESUP.md
6,Heures Sup,6.2,Formulaire préalable,feature/hs-prealable-formulaire,P0,Screen saisie préalable - Tous champs - Validation,Development,"✅ Formulaire préalable opérationnel",Jour 4,Jour 8,5,6.1,A faire,,Saisie complète
6,Heures Sup,6.3,Workflow préalable,feature/workflow-hs-prealable,P0,Workflow Manager → RH - Validations - Notifications,Development,"✅ Workflow préalable complet",Jour 6,Jour 10,5,6.2,A faire,,5 étapes workflow
6,Heures Sup,6.4,Séquence création préalable,feature/sequence-hs-prealable,P0,CRUD préalable - Sauvegarde - Validation données,Development,"✅ CRUD préalable opérationnel",Jour 8,Jour 12,5,6.2,A faire,,Séquences Convertigo
6,Heures Sup,6.5,Validations préalable,feature/validations-hs-prealable,P0,Validation Manager - Validation RH - Notifications,Development,"✅ Validations préalable fonctionnelles",Jour 10,Jour 14,5,6.3,A faire,,Multi-validations
